	Borough	District	bororder	13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		Oct-13	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		variance			
			0																																																																																
37	Manhattan	M11	1	"2,255"	"2,153"	"1,907"	"2,132"	"2,165"	"2,311"	"2,229"	"2,290"	"2,117"	"2,213"	"2,230"	"2,084"	"2,359"	"2,090"	"1,854"	"2,235"	"2,132"	"2,246"	"2,442"	"2,219"	"2,140"	"2,257"	"2,249"	"2,162"	"2,380"	"2,074"	"2,080"	"2,256"	"2,161"	"2,298"	"2,339"	"2,161"	"2,265"	"2,272"	"2,234"	"2,267"	"2,318"		"2,255"	"2,153"	"1,907"	"2,132"	"2,165"	"2,311"	"2,229"	"2,290"	"2,117"	"2,213"	"2,230"	"2,084"	"2,359"	"2,090"	"1,854"	"2,235"	"2,132"	"2,246"	"2,442"	"2,219"	"2,140"	"2,257"	"2,249"	"2,162"	"2,380"	"2,074"	"2,080"	"2,256"	"2,161"	"2,298"	"2,339"	"2,161"	"2,265"	"2,272"	"2,234"	"2,267"	"2,318"		13519.15705			
32	Manhattan	M6	1	"5,314"	"5,028"	"4,496"	"4,865"	"5,092"	"5,424"	"5,052"	"5,229"	"4,903"	"5,168"	"5,248"	"4,966"	"5,388"	"4,944"	"4,331"	"5,074"	"4,920"	"5,131"	"5,466"	"4,983"	"4,859"	"5,107"	"5,239"	"4,922"	"5,399"	"4,740"	"4,727"	"5,095"	"4,935"	"5,153"	"5,270"	"4,825"	"5,095"	"5,133"	"5,142"	"5,169"	"5,235"		"3,059"	"2,875"	"2,589"	"2,733"	"2,927"	"3,113"	"2,823"	"2,939"	"2,786"	"2,955"	"3,018"	"2,882"	"3,029"	"2,854"	"2,477"	"2,839"	"2,788"	"2,885"	"3,024"	"2,764"	"2,719"	"2,850"	"2,990"	"2,760"	"3,019"	"2,666"	"2,647"	"2,839"	"2,774"	"2,855"	"2,931"	"2,664"	"2,830"	"2,861"	"2,908"	"2,902"	"2,917"		18239.98831			
29	Manhattan	"M1,2"	1	"8,845"	"8,451"	"7,661"	"8,117"	"8,502"	"9,020"	"8,372"	"8,503"	"7,992"	"8,537"	"8,730"	"8,275"	"8,905"	"8,196"	"7,342"	"8,415"	"8,137"	"8,520"	"9,027"	"8,172"	"7,948"	"8,438"	"8,733"	"8,260"	"8,838"	"7,848"	"7,941"	"8,435"	"8,192"	"8,484"	"8,776"	"7,882"	"8,320"	"8,434"	"8,528"	"8,529"	"8,621"		"3,531"	"3,423"	"3,165"	"3,252"	"3,410"	"3,596"	"3,320"	"3,274"	"3,089"	"3,369"	"3,482"	"3,309"	"3,517"	"3,252"	"3,011"	"3,341"	"3,217"	"3,389"	"3,561"	"3,189"	"3,089"	"3,331"	"3,494"	"3,338"	"3,439"	"3,108"	"3,214"	"3,340"	"3,257"	"3,331"	"3,506"	"3,057"	"3,225"	"3,301"	"3,386"	"3,360"	"3,386"		20665.70928			
35	Manhattan	M9	1	"11,405"	"10,815"	"9,765"	"10,500"	"10,986"	"11,732"	"10,865"	"11,066"	"10,411"	"11,054"	"11,249"	"10,619"	"11,501"	"10,479"	"9,294"	"10,789"	"10,399"	"11,017"	"11,602"	"10,574"	"10,291"	"10,872"	"11,172"	"10,559"	"11,351"	"10,030"	"10,116"	"10,784"	"10,483"	"10,872"	"11,333"	"10,193"	"10,807"	"10,826"	"10,921"	"10,934"	"11,061"		"2,560"	"2,364"	"2,104"	"2,383"	"2,484"	"2,712"	"2,493"	"2,563"	"2,419"	"2,517"	"2,519"	"2,344"	"2,596"	"2,283"	"1,952"	"2,374"	"2,262"	"2,497"	"2,575"	"2,402"	"2,343"	"2,434"	"2,439"	"2,299"	"2,513"	"2,182"	"2,175"	"2,349"	"2,291"	"2,388"	"2,557"	"2,311"	"2,487"	"2,392"	"2,393"	"2,405"	"2,440"		21131.91819			
30	Manhattan	M3	1	"14,507"	"13,787"	"12,454"	"13,310"	"13,976"	"14,877"	"13,839"	"14,192"	"13,367"	"14,053"	"14,322"	"13,449"	"14,603"	"13,316"	"11,808"	"13,764"	"13,327"	"14,010"	"14,880"	"13,687"	"13,244"	"13,851"	"14,175"	"13,400"	"14,323"	"12,713"	"12,793"	"13,678"	"13,388"	"13,770"	"14,559"	"13,081"	"13,930"	"13,760"	"13,839"	"13,837"	"13,975"		"3,102"	"2,972"	"2,689"	"2,810"	"2,990"	"3,145"	"2,974"	"3,126"	"2,956"	"2,999"	"3,073"	"2,830"	"3,102"	"2,837"	"2,514"	"2,975"	"2,928"	"2,993"	"3,278"	"3,113"	"2,953"	"2,979"	"3,003"	"2,841"	"2,972"	"2,683"	"2,677"	"2,894"	"2,905"	"2,898"	"3,226"	"2,888"	"3,123"	"2,934"	"2,918"	"2,903"	"2,914"		23295.7721			
36	Manhattan	M10	1	"17,354"	"16,558"	"14,801"	"16,046"	"16,765"	"17,812"	"16,674"	"17,191"	"16,137"	"16,858"	"17,154"	"16,102"	"17,582"	"15,931"	"14,132"	"16,573"	"15,943"	"16,736"	"17,906"	"16,614"	"16,024"	"16,721"	"16,965"	"16,088"	"17,234"	"15,258"	"15,319"	"16,452"	"16,051"	"16,562"	"17,473"	"15,887"	"16,875"	"16,542"	"16,547"	"16,647"	"16,795"		"2,847"	"2,771"	"2,347"	"2,736"	"2,789"	"2,935"	"2,835"	"2,999"	"2,770"	"2,805"	"2,832"	"2,653"	"2,979"	"2,615"	"2,324"	"2,809"	"2,616"	"2,726"	"3,026"	"2,927"	"2,780"	"2,870"	"2,790"	"2,688"	"2,911"	"2,545"	"2,526"	"2,774"	"2,663"	"2,792"	"2,914"	"2,806"	"2,945"	"2,782"	"2,708"	"2,810"	"2,820"		24133.73265			
31	Manhattan	"M4,5"	1	"21,119"	"20,209"	"18,058"	"19,520"	"20,357"	"21,608"	"20,231"	"20,830"	"19,567"	"20,492"	"20,895"	"19,550"	"21,325"	"19,376"	"17,217"	"20,144"	"19,339"	"20,334"	"21,726"	"20,131"	"19,441"	"20,318"	"20,677"	"19,579"	"20,952"	"18,574"	"18,704"	"20,049"	"19,570"	"20,130"	"21,314"	"19,315"	"20,514"	"20,197"	"20,202"	"20,305"	"20,515"		"3,765"	"3,651"	"3,257"	"3,474"	"3,592"	"3,796"	"3,557"	"3,639"	"3,430"	"3,634"	"3,741"	"3,448"	"3,743"	"3,445"	"3,085"	"3,571"	"3,396"	"3,598"	"3,820"	"3,517"	"3,417"	"3,597"	"3,712"	"3,491"	"3,718"	"3,316"	"3,385"	"3,597"	"3,519"	"3,568"	"3,841"	"3,428"	"3,639"	"3,655"	"3,655"	"3,658"	"3,720"		26238.02484			
38	Manhattan	M12	1	"26,182"	"25,115"	"22,356"	"24,448"	"25,383"	"26,857"	"25,266"	"26,002"	"24,430"	"25,543"	"25,940"	"24,249"	"26,605"	"23,992"	"21,177"	"25,052"	"24,058"	"25,148"	"26,947"	"25,089"	"24,185"	"25,213"	"25,569"	"24,366"	"26,065"	"23,035"	"23,164"	"24,980"	"24,251"	"24,799"	"26,539"	"24,063"	"25,585"	"25,038"	"25,071"	"25,351"	"25,542"		"5,063"	"4,906"	"4,298"	"4,928"	"5,026"	"5,249"	"5,035"	"5,172"	"4,863"	"5,051"	"5,045"	"4,699"	"5,280"	"4,616"	"3,960"	"4,908"	"4,719"	"4,814"	"5,221"	"4,958"	"4,744"	"4,895"	"4,892"	"4,787"	"5,113"	"4,461"	"4,460"	"4,931"	"4,681"	"4,669"	"5,225"	"4,748"	"5,071"	"4,841"	"4,869"	"5,046"	"5,027"		73053.07232			
33	Manhattan	M7	1	"31,665"	"30,326"	"26,886"	"29,433"	"30,642"	"32,360"	"30,401"	"31,055"	"29,152"	"30,818"	"31,307"	"29,296"	"32,019"	"29,001"	"25,499"	"30,098"	"29,059"	"30,258"	"32,355"	"29,892"	"28,813"	"30,292"	"30,829"	"29,443"	"31,369"	"27,777"	"27,831"	"30,014"	"29,205"	"29,713"	"31,811"	"28,621"	"30,410"	"30,041"	"30,143"	"30,493"	"30,658"		"5,483"	"5,211"	"4,530"	"4,985"	"5,259"	"5,503"	"5,135"	"5,053"	"4,722"	"5,275"	"5,367"	"5,047"	"5,414"	"5,009"	"4,322"	"5,046"	"5,001"	"5,110"	"5,408"	"4,803"	"4,628"	"5,079"	"5,260"	"5,077"	"5,304"	"4,742"	"4,667"	"5,034"	"4,954"	"4,914"	"5,272"	"4,558"	"4,825"	"5,003"	"5,072"	"5,142"	"5,116"		74869.88897			
