Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Bronx1	88.26	82.88	75.02	92.55	98.33	87.75	105.75	100.89	89.65	108.07	89.69	84.1	123.92	80.18	93.42	110.87	89.87	86.4	129.6	102.96	102	114.79	100.94	98.84	126.24	80.62	120.5	111.26	106.76	109.78	107.41	109.96	116.85	112.58	102.84	110.25	125.06
Bronx2	72.33	91.08	65.87	77.92	74.83	97.24	79.34	86.37	83.55	71.35	86	61.99	87.48	115.26	69.14	81.04	86.67	80.25	81.46	105.67	77.08	81.46	92.35	64	126.18	85.83	92.57	95.61	88.95	80.18	104.31	95.29	88.01	115.23	84.06	71.55	145.48
Bronx3	98.8	120.32	81.7	95.88	125.55	86.43	101	129.53	99.27	109.9	99.94	92.32	149.09	76.64	102.55	120.09	112.58	92.71	124.99	119.49	96.61	127.59	99.27	98.33	167.74	79.04	132.51	144.24	118.72	120.2	146.86	120.54	130.81	118.71	101.5	134.36	132.32
Bronx4	177.56	175.97	166.41	212.93	218.59	185.4	208.87	209.94	195.91	198.91	187.98	188.77	255.14	172.59	178.22	226.6	194.67	195.72	248.56	210.59	202.03	205.91	208.47	203.56	259.07	172.48	241.5	222.02	211.69	208.6	223.72	225.88	223.74	211.29	208.5	217.21	258.67
Bronx5	165.06	171.76	148.03	185.54	192.63	195.85	192.13	189.82	187.33	186.34	178.73	193.7	244.8	162.32	165.31	200.62	180.83	178.99	216.5	197.24	193.63	202.17	195.46	187.67	241.44	165.38	218.37	207.02	204.1	194.56	206.2	203.28	198.44	188.92	188.07	203.66	242.55
Bronx6	109.9	123.09	89.48	101.45	132.5	99.97	105.15	130.65	101.71	114.9	108.46	102.75	153.95	75.22	111.74	121.35	118.75	102.4	128.6	123.2	103.51	134.38	95.97	102.2	170.51	83.17	133.87	141.76	110.95	127.37	132.86	117.19	137.52	111.54	107.43	146.63	140.92
Bronx7	223.36	248.1	201.18	232.77	249.41	237.09	251.13	266.4	231.18	238.39	244.71	225.57	312.58	238.23	210.59	252.33	242.56	218.36	282.17	273.32	239.33	258.78	247.45	224.14	342.24	208.41	275.51	263.03	240.39	241.65	289.57	258.25	268.5	252.66	242.88	254.11	336.05
Bronx8	335.21	329.24	266.91	306.44	340.21	331.73	324.8	348.48	312.26	342.65	337.79	309.2	423.55	302.38	292.86	327.36	315.7	302.39	362.22	328.7	304.81	346.96	342.39	326.3	450.02	274.58	367.13	348.51	319.77	340.98	351.26	322.38	346.74	344.56	322.15	355.58	423.77
Bronx9	171.44	190.35	145.62	174.81	181.93	214.65	196.52	206.97	187.1	177.22	190.9	168.89	231.27	197.19	157.56	188.23	189.05	185.71	200.71	209.68	193.1	197.88	205.83	169.63	257.6	168.37	208.96	204.17	196.57	190.5	222.1	219.74	207.39	218.99	197.18	184.66	274.61
Bronx10	313.52	355.74	269.68	302.86	319.77	360.04	331.14	329.26	311.95	312.76	329.3	307.41	420.11	308.05	275.1	317.15	308.28	306.1	342.9	330.79	302.3	316.26	357.81	313.18	458.26	289.93	346.49	321.07	319.9	313.09	351.63	343.4	319.54	325.66	325.27	328.96	452.54
Bronx11	274.68	303.67	233.42	270.93	284.48	304.2	304.11	309.95	286.25	288.97	294.05	271.35	363.03	279.08	230.48	284.73	275.19	270.23	320.1	295.24	279.28	286.26	308.29	268.47	380.53	242.06	311.85	286.87	278.05	271.74	310.95	300.19	278.98	270.45	263.84	269.41	370.74
Bronx12	339.09	369.08	269.16	337.11	361.32	370.36	382.4	391.9	367.4	350.44	360.56	322.23	444.76	325.73	278.58	358.33	353.41	334.3	394.94	388.88	352.5	371.22	360.63	337.49	479.59	293.28	378.2	365.21	353.77	350.74	398.9	384.55	390.53	366.95	346.97	366.18	473.74
