Borough,Row Labels,Row Labels,10/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
,,g0,-107294.12,-97840.38,-85245.745,-99729.35,-108413.895,-116289.905,-110049.975,-114074.2,-104360.865,-107434.395,-107902.03,-100797.195,-112031.37,-93837.43,-82050.48,-101644.705,-104533.755,-109103.09,-116613.095,-110190.555,-103794.08,-107585.23,-106207.04,-104538,-109383.67,-92469.67,-92522.68,-103741.745,-102042.21,-107181.245,-115467.34,-105947.44,-109987.41,-105278.625,-104793.43,-106541.625,-105535.155
Manhattan,M11,g1,-105039.27,-95687.36,-83338.605,-97597.62,-106248.525,-113978.475,-107820.985,-111783.84,-102244.105,-105221.195,-105671.89,-98712.885,-109672.56,-91747.23,-80196.21,-99410.205,-102402.075,-106856.94,-114171.215,-107971.605,-101653.65,-105328.48,-103958.45,-102376.39,-107004.16,-90395.85,-90443.07,-101486.035,-99881.17,-104882.865,-113128.52,-103785.95,-107722.26,-103006.565,-102559.67,-104274.725,-103217.165
Manhattan,M6,g2,-101980.15,-92812.35,-80749.735,-94864.73,-103321.295,-110865.655,-104998.225,-108844.78,-99458.085,-102266.405,-102654.2,-95830.815,-106643.72,-88893.57,-77719.32,-96571.125,-99613.805,-103972.27,-111146.985,-105207.205,-98934.99,-102478.66,-100968.58,-99616.18,-103984.95,-87729.71,-87795.63,-98646.995,-97106.71,-102027.435,-110197.97,-101121.48,-104891.98,-100145.575,-99652.03,-101372.445,-100300.655
Manhattan,"M1,2",g3,-98448.32,-89389.37,-77585.315,-91612.06,-99912.065,-107269.645,-101677.485,-105571.19,-96369.405,-98897.135,-99172.22,-92521.995,-103127.48,-85641.36,-74708.41,-93230.255,-96396.875,-100583.59,-107586.155,-102019.005,-95845.38,-99147.5,-97473.81,-96278.27,-100546.32,-84622.06,-84581.2,-95306.945,-93849.8,-98696.365,-106691.38,-98064.4,-101666.73,-96844.545,-96266.46,-98012.635,-96913.845
Manhattan,M9,g4,-95888.67,-87025.29,-75481.285,-89229.43,-97428.075,-104557.655,-99184.025,-103008.15,-93950.305,-96380.055,-96653.58,-90177.595,-100531.15,-83358.11,-72756.58,-90856.275,-94135.265,-98086.86,-105010.765,-99617.195,-93502.04,-96713.44,-95035.28,-93979.09,-98033.69,-82440.42,-82406.1,-92957.985,-91558.56,-96308.535,-104134.43,-95753.66,-99179.97,-94452.455,-93873.58,-95607.675,-94473.395
Manhattan,M3,g5,-92786.63,-84053.44,-72792.745,-86419.14,-94437.905,-101412.275,-96209.665,-99882.09,-90994.355,-93380.575,-93580.25,-87347.825,-97429.27,-80521.52,-70242.55,-87881.695,-91206.905,-95094.13,-101732.525,-96503.795,-90549.13,-93734.52,-92032.1,-91138.02,-95062.11,-79756.94,-79729.55,-90063.775,-88653.77,-93410.485,-100908.74,-92865.62,-96056.74,-91518.315,-90956.05,-92704.825,-91559.455
Manhattan,M10,g6,-89939.14,-81282.34,-70446.175,-83683.26,-91649.005,-98477.105,-93374.435,-96883.34,-88224.445,-90576.065,-90748.18,-84694.375,-94450,-77906.93,-67918.19,-85072.665,-88591.235,-92368.51,-98706.035,-93577.145,-87768.72,-90864.87,-89241.8,-88449.82,-92151.46,-77211.92,-77203.49,-87289.885,-85990.81,-90618.435,-97994.77,-90059.46,-93111.46,-88736.635,-88247.9,-89894.625,-88739.745
Manhattan,"M4,5",g7,-86174.54,-77631.35,-67189.245,-80209.37,-88056.125,-94681.625,-89817.855,-93243.65,-84794.155,-86942.165,-87007.03,-81246.695,-90706.85,-74462.5,-64833.52,-81501.625,-85195.775,-88770.91,-94885.735,-90060.195,-84351.73,-87267.57,-85529.38,-84959.47,-88433.45,-73895.74,-73818.31,-83693.265,-82471.98,-87050.915,-94154.45,-86631.51,-89472.46,-85081.925,-84593,-86236.815,-85020.055
Manhattan,M12,g8,-81111.22,-72725.31,-62891.705,-75281.43,-83030.095,-89433.025,-84783.355,-88071.22,-79931.405,-81890.845,-81962.23,-76547.665,-85426.6,-69846.12,-60873.25,-76593.155,-80476.495,-83956.63,-89664.535,-85101.995,-79607.43,-82372.95,-80637.37,-80172.1,-83320.76,-69434.29,-69358.66,-78762.475,-77790.61,-82382.325,-88929.45,-81883.79,-84401.5,-80241.265,-79723.62,-81191.195,-79992.995
Manhattan,M7,g9,-75628.71,-67513.87,-58361.575,-70296.24,-77771.445,-83929.935,-79648.625,-83017.88,-75209.225,-76616.235,-76595.66,-71500.395,-80012.83,-64837.58,-56551.65,-71546.665,-75475.365,-78846.7,-84256.255,-80298.935,-74979.16,-77294.08,-75377.87,-75095.45,-78016.48,-64692,-64691.66,-73728.195,-72836.26,-77468.285,-83657.71,-77325.33,-79576.29,-75238.305,-74651.46,-76049.585,-74877.155
