 District 	 Total Population 	 2016 Garbage 	 2016 Recycling 	 Rec PP 2016 	 AVG 2016 Garbage 	 AVG 2016 Recycle 	 AVG Monthly Garbage PP from 2016 	 GB PP 2016 	 Mean travel time to work (minutes) 	 Median household income (dollars) 	 Mean household income (dollars) 	 Median age (years) 	 Homeowner vacancy rate 	 Rental vacancy rate 	 Median rooms 	 Median house Value (dollars) 	 Median Rent (dollars) 	 % Families with income below poverty line 	 Percent Unemployed 	 Foreign born 	 Percent high school graduate or higher 	 Percent bachelor's degree or higher 
 BX1,2 	  143,743 	  40,344 	  5,670 	  79 	  1,681 	  236 	23	561	40.7	20,867	31,559	28.5	7	4.3	4	323,300	743	41.30%	17.90%	28.50%	54.70%	8.20%
 BX3,6 	  163,030 	  47,894 	  7,064 	  87 	  1,996 	  294 	24	588	41.8	21,379	31,966	27.5	7.9	4.9	3.9	370,800	872	41.30%	19.50%	30.50%	59.20%	9.70%
 BX4 	  146,441 	  48,731 	  6,160 	  84 	  4,061 	  513 	55	666	40.2	25,834	36,312	31.4	4.6	3.5	3.7	256,700	990	36.70%	17.70%	40.60%	60.80%	11.60%
 BX5 	  128,200 	  41,345 	  6,194 	  97 	  3,445 	  516 	54	645	42	24,753	35,058	30.7	8.2	4.2	3.8	410,000	1,015	39.00%	20.90%	41.00%	63.30%	10.70%
 BX7 	  139,286 	  43,894 	  7,724 	  111 	  3,658 	  644 	53	630	41.9	30,231	42,286	31.7	7	2.7	3.5	261,200	1,105	31.00%	16.30%	41.00%	68.10%	16.40%
 BX8 	  101,731 	  28,026 	  8,136 	  160 	  2,336 	  678 	46	551	43	53,595	75,889	39.3	4.4	3.9	3.8	317,000	1,182	15.20%	12.20%	32.40%	82.20%	37.10%
 BX9 	  172,298 	  45,601 	  6,128 	  71 	  3,800 	  511 	44	529	45.2	36,920	48,877	33.2	2.1	1.7	3.9	367,300	1,045	24.20%	12.30%	33.40%	69.50%	16.40%
 BX10 	  120,392 	  30,061 	  8,100 	  135 	  2,505 	  675 	42	499	42.7	51,912	67,630	42.5	1	1.6	4.4	353,900	1,063	11.10%	11.90%	20.00%	82.30%	23.40%
 BX11 	  113,232 	  36,406 	  7,079 	  125 	  3,034 	  590 	54	643	40.1	44,370	57,429	36.1	1.7	3.9	4.1	428,200	1,115	17.30%	14.80%	36.10%	75.10%	23.20%
 BX12 	  152,344 	  45,510 	  10,392 	  136 	  3,792 	  866 	50	597	45.2	43,601	54,786	34.5	2.7	5.6	4.4	389,700	1,118	18.50%	16.20%	39.30%	79.50%	21.80%
 B1 	  173,083 	  60,948 	  11,904 	  138 	  5,079 	  992 	59	704	31.3	47,229	67,301	31.4	5.7	2.8	3.9	662,100	1,207	27.30%	7.80%	24.60%	81.30%	40.70%
 B2 	  99,617 	  28,514 	  9,769 	  196 	  2,376 	  814 	48	572	35	71,754	106,070	33.6	3.2	3.5	3.6	693,500	1,451	15.60%	9.80%	20.00%	87.70%	57.30%
 B3 	  152,985 	  47,244 	  7,564 	  99 	  3,937 	  630 	51	618	40.7	36,535	51,435	31.5	6.4	5.9	4.1	594,000	1,010	27.20%	15.60%	20.00%	75.70%	23.10%
 B4 	  112,634 	  35,470 	  6,289 	  112 	  2,956 	  524 	52	630	39	36,344	48,894	29.8	4.7	5.7	4.2	472,700	1,157	28.70%	14.30%	36.60%	59.10%	17.80%
 B5 	  182,896 	  53,723 	  7,252 	  79 	  4,477 	  604 	49	587	42.6	31,986	43,241	31.8	4.4	8	3.7	419,700	1,036	30.40%	13.60%	34.00%	76.20%	12.30%
 B6 	  104,709 	  24,088 	  11,843 	  226 	  2,007 	  987 	38	460	37.3	87,896	125,063	35	2.5	2.9	4.1	901,500	1,704	8.20%	7.80%	17.50%	91.30%	66.50%
 B7 	  126,230 	  39,578 	  9,745 	  154 	  3,298 	  812 	52	627	44.2	41,912	60,410	32.1	2.3	3.8	4	625,500	1,203	24.30%	10.70%	48.10%	58.10%	24.30%
 B8 	  96,317 	  31,073 	  6,117 	  127 	  2,589 	  510 	54	645	40.7	41,144	60,573	33.5	6.1	5.4	3.8	606,400	1,097	25.10%	12.40%	31.60%	80.90%	33.80%
 B9 	  98,429 	  35,521 	  5,410 	  110 	  2,960 	  451 	60	722	42	38,934	50,568	33.9	4.5	3.8	3.8	556,700	1,096	20.60%	17.40%	43.60%	80.30%	23.20%
 B10 	  124,491 	  37,988 	  11,447 	  184 	  3,166 	  954 	51	610	42.4	53,500	75,935	37.8	1.8	2.9	4.2	635,700	1,236	13.20%	9.10%	38.00%	78.90%	35.20%
 B11 	  181,981 	  58,824 	  13,420 	  147 	  4,902 	  1,118 	54	646	44.4	44,108	61,414	39.4	3.8	4.1	4.1	632,100	1,121	14.50%	10.10%	54.20%	71.50%	23.20%
 B12 	  191,382 	  73,196 	  13,018 	  136 	  6,100 	  1,085 	64	765	36.6	36,752	56,497	27.8	1.9	3.1	4.4	663,500	1,231	27.60%	7.60%	33.70%	75.10%	23.50%
 B13 	  104,278 	  24,399 	  4,486 	  86 	  2,033 	  374 	39	468	44.5	29,712	49,192	46.2	3.8	5.1	3.6	379,400	889	19.70%	13.00%	54.60%	82.60%	31.30%
 B14 	  160,664 	  56,994 	  9,737 	  121 	  4,749 	  811 	59	709	41.1	42,144	59,936	34.6	1.6	4.8	3.7	631,300	1,148	17.20%	10.90%	46.20%	82.60%	32.70%
 B15 	  159,650 	  53,372 	  12,486 	  156 	  4,448 	  1,040 	56	669	42.7	48,206	66,796	41.4	2.4	4.1	4.2	549,900	1,107	13.10%	9.70%	45.60%	86.40%	35.80%
 B16 	  86,468 	  23,916 	  2,881 	  67 	  1,993 	  240 	46	553	44.8	27,166	40,906	30	3	5	4.2	390,600	882	35.70%	15.40%	28.80%	72.60%	10.40%
 B17 	  155,252 	  51,682 	  8,489 	  109 	  4,307 	  707 	55	666	44.6	46,327	58,303	37.4	1	4.7	4.2	432,800	1,109	14.40%	12.80%	53.30%	83.80%	19.00%
 B18 	  193,543 	  64,753 	  13,774 	  142 	  5,396 	  1,148 	56	669	44.4	61,273	74,512	36.9	1.8	3.1	4.9	478,300	1,197	10.30%	10.50%	42.10%	86.90%	27.90%
 M1,2 	  150,994 	  39,472 	  16,473 	  218 	  1,645 	  686 	22	523	24.7	111,579	182,390	34.1	4.9	4.3	3.1	996,600	 2,000+ 	5.10%	5.30%	23.20%	95.50%	80.20%
 M3 	  163,277 	  34,963 	  7,843 	  96 	  2,914 	  654 	36	428	31	41,635	71,480	37.9	2.6	3.8	3.3	604,900	965	24.30%	8.50%	35.90%	72.90%	40.80%
 M4,5 	  154,918 	  42,979 	  15,610 	  202 	  1,791 	  650 	23	555	24.7	84,421	153,649	38	2.3	3.8	2.9	857,100	1,852	6.80%	7.90%	25.80%	93.60%	70.90%
 M6 	  142,745 	  33,795 	  11,514 	  161 	  2,816 	  960 	39	474	26.2	96,098	147,628	34.9	3.9	2	3.1	716,700	 2,000+ 	4.60%	6.30%	22.40%	96.80%	78.90%
 M7 	  209,084 	  59,300 	  23,179 	  222 	  4,942 	  1,932 	47	567	29.8	93,258	158,798	41	2.9	3.9	3.4	939,900	1,707	7.10%	6.80%	21.10%	94.30%	75.00%
 M8 	  219,920 	  62,147 	  23,621 	  215 	  5,179 	  1,968 	47	565	30.4	101,417	184,383	40.1	2	4.8	3.2	971,500	1,895	3.20%	6.00%	22.40%	96.70%	77.70%
 M9 	  110,193 	  28,370 	  6,488 	  118 	  2,364 	  541 	43	515	34.7	39,840	67,795	31.8	2.1	3	3.9	592,300	1,095	24.00%	10.70%	33.80%	79.10%	42.90%
 M10 	  115,723 	  33,085 	  6,104 	  105 	  2,757 	  509 	48	572	35.8	36,112	58,160	34.5	4.1	5.5	3.7	613,900	856	24.70%	15.00%	22.40%	79.20%	32.80%
 M11 	  120,511 	  26,725 	  4,956 	  82 	  2,227 	  413 	37	444	33.1	31,079	55,474	33.2	14.2	3.7	3.5	575,100	846	26.40%	12.20%	26.70%	72.10%	28.50%
 M12 	  190,020 	  58,028 	  11,726 	  123 	  4,836 	  977 	51	611	39	39,535	56,557	35.7	1.4	1.3	3.7	366,700	1,092	21.20%	15.60%	48.90%	68.50%	29.40%
 Q1 	  191,105 	  46,976 	  13,857 	  145 	  3,915 	  1,155 	41	492	36.9	49,432	63,775	34.5	1.3	3.5	3.7	594,800	1,333	15.30%	10.60%	42.40%	81.40%	38.30%
 Q2 	  113,200 	  34,754 	  9,181 	  162 	  2,896 	  765 	51	614	37	51,836	68,709	35.8	2	2.7	3.6	470,200	1,376	11.30%	7.30%	56.40%	80.50%	35.10%
 Q3 	  171,576 	  57,846 	  9,906 	  115 	  4,821 	  826 	56	674	39.7	46,119	59,757	34.6	1.4	4	4	385,300	1,295	19.20%	9.30%	63.30%	69.00%	20.00%
 Q4 	  172,598 	  48,708 	  8,376 	  97 	  4,059 	  698 	47	564	41.8	44,412	59,064	35.3	3.7	1.7	3.8	441,100	1,317	18.70%	7.00%	65.90%	68.10%	19.60%
 Q5 	  169,190 	  55,559 	  16,238 	  192 	  4,630 	  1,353 	55	657	37.5	53,454	66,891	37	0.7	3.9	4.8	524,600	1,264	12.90%	8.30%	38.60%	80.10%	22.70%
 Q6 	  113,257 	  33,244 	  9,273 	  164 	  2,770 	  773 	49	587	40.6	62,155	81,919	40.7	2.2	2.1	3.9	342,000	1,391	7.50%	7.00%	49.10%	92.20%	53.40%
 Q7 	  247,354 	  77,370 	  17,725 	  143 	  6,448 	  1,477 	52	626	39.8	52,438	70,275	42	2.3	3.6	4.3	544,300	1,360	11.50%	10.50%	55.70%	79.10%	31.20%
 Q8 	  151,107 	  43,467 	  10,463 	  138 	  3,622 	  872 	48	575	42	58,394	74,537	38.6	2.2	3.6	4.3	492,700	1,266	11.60%	11.50%	45.70%	86.50%	42.20%
 Q9 	  143,317 	  47,747 	  11,211 	  156 	  3,979 	  934 	56	666	45.8	57,117	72,267	34.7	2.3	4.8	4.7	410,800	1,300	14.20%	11.70%	50.80%	77.80%	25.80%
 Q10 	  122,396 	  41,118 	  10,231 	  167 	  3,426 	  853 	56	672	43.9	59,144	75,648	38.5	0.5	1.7	5.3	441,900	1,322	10.90%	11.00%	46.20%	78.30%	19.90%
 Q11 	  116,431 	  35,061 	  10,961 	  188 	  2,922 	  913 	50	602	40.2	74,143	88,411	42.8	0.6	4.2	5.2	564,900	1,544	6.80%	8.70%	43.60%	88.60%	44.70%
 Q12 	  225,919 	  78,449 	  14,934 	  132 	  6,537 	  1,244 	58	694	47.5	50,857	64,332	36	3.5	3.2	5	379,000	1,144	14.60%	14.80%	42.40%	78.50%	19.20%
