Row Labels	Oct-13	Jan-14	Feb-14	Mar-14	Apr-14	May-14	Jun-14	Jul-14	Aug-14	Sep-14	Oct-14	Nov-14	Dec-14	Jan-15	Feb-15	Mar-15	Apr-15	May-15	Jun-15	Jul-15	Aug-15	Sep-15	Oct-15	Nov-15	Dec-15	Jan-16	Feb-16	Mar-16	Apr-16	May-16	Jun-16	Jul-16	Aug-16	Sep-16	Oct-16	Nov-16	Dec-16
Bronx1	  1,950 	  1,884 	  1,718 	  1,967 	  1,920 	  1,992 	  1,950 	  2,038 	  1,890 	  1,916 	  1,880 	  1,777 	  2,036 	  1,783 	  1,554 	  1,933 	  1,795 	  1,852 	  2,000 	  1,962 	  1,857 	  1,895 	  1,822 	  1,855 	  1,951 	  1,700 	  1,756 	  1,872 	  1,789 	  1,857 	  2,022 	  1,923 	  2,015 	  1,881 	  1,863 	  1,973 	  1,937 
Bronx2	  1,546 	  1,529 	  1,391 	  1,544 	  1,519 	  1,586 	  1,517 	  1,641 	  1,511 	  1,515 	  1,517 	  1,419 	  1,618 	  1,419 	  1,267 	  1,551 	  1,460 	  1,468 	  1,556 	  1,550 	  1,466 	  1,495 	  1,445 	  1,431 	  1,579 	  1,364 	  1,347 	  1,477 	  1,405 	  1,439 	  1,606 	  1,497 	  1,569 	  1,480 	  1,466 	  1,553 	  1,554 
Bronx3	  1,853 	  1,827 	  1,663 	  1,871 	  1,882 	  1,885 	  1,816 	  1,965 	  1,787 	  1,809 	  1,819 	  1,697 	  1,973 	  1,694 	  1,516 	  1,836 	  1,751 	  1,747 	  1,913 	  1,887 	  1,812 	  1,809 	  1,761 	  1,784 	  1,915 	  1,744 	  1,738 	  1,862 	  1,741 	  1,756 	  1,997 	  1,849 	  1,965 	  1,853 	  1,905 	  1,982 	  1,959 
Bronx4	  4,219 	  4,045 	  3,751 	  4,236 	  4,220 	  4,375 	  4,179 	  4,486 	  4,118 	  4,150 	  4,128 	  3,933 	  4,465 	  3,844 	  3,406 	  4,076 	  3,888 	  3,942 	  4,293 	  4,208 	  4,005 	  4,016 	  3,991 	  3,996 	  4,267 	  3,682 	  3,895 	  4,118 	  3,881 	  4,037 	  4,224 	  4,120 	  4,288 	  4,010 	  4,035 	  4,231 	  4,210 
Bronx5	  3,410 	  3,326 	  3,079 	  3,474 	  3,484 	  3,624 	  3,426 	  3,713 	  3,432 	  3,519 	  3,417 	  3,239 	  3,665 	  3,172 	  2,864 	  3,426 	  3,298 	  3,337 	  3,650 	  3,523 	  3,395 	  3,460 	  3,397 	  3,366 	  3,610 	  3,193 	  3,268 	  3,520 	  3,340 	  3,320 	  3,673 	  3,485 	  3,626 	  3,423 	  3,408 	  3,507 	  3,584 
Bronx6	  2,160 	  2,018 	  1,878 	  2,136 	  2,202 	  2,249 	  2,136 	  2,311 	  2,106 	  2,131 	  2,133 	  1,975 	  2,305 	  1,957 	  1,704 	  2,144 	  2,034 	  2,088 	  2,259 	  2,177 	  2,116 	  2,134 	  2,065 	  2,101 	  2,241 	  1,963 	  2,017 	  2,207 	  2,007 	  2,058 	  2,280 	  2,128 	  2,287 	  2,098 	  2,094 	  2,215 	  2,188 
Bronx7	  3,616 	  3,485 	  3,259 	  3,672 	  3,666 	  3,771 	  3,630 	  3,876 	  3,552 	  3,629 	  3,573 	  3,411 	  3,870 	  3,317 	  2,913 	  3,582 	  3,465 	  3,501 	  3,828 	  3,727 	  3,581 	  3,595 	  3,574 	  3,566 	  3,809 	  3,408 	  3,354 	  3,666 	  3,535 	  3,517 	  3,966 	  3,664 	  3,891 	  3,627 	  3,681 	  3,788 	  3,799 
Bronx8	  2,416 	  2,350 	  2,092 	  2,295 	  2,425 	  2,512 	  2,383 	  2,540 	  2,308 	  2,387 	  2,408 	  2,340 	  2,602 	  2,260 	  1,898 	  2,242 	  2,292 	  2,353 	  2,499 	  2,371 	  2,236 	  2,311 	  2,345 	  2,307 	  2,471 	  2,246 	  2,099 	  2,304 	  2,253 	  2,337 	  2,478 	  2,350 	  2,423 	  2,353 	  2,356 	  2,408 	  2,421 
Bronx9	  4,043 	  3,544 	  3,062 	  3,709 	  3,862 	  4,132 	  3,863 	  4,137 	  3,787 	  3,710 	  3,816 	  3,630 	  4,111 	  3,465 	  2,986 	  3,678 	  3,805 	  3,931 	  4,103 	  4,015 	  3,779 	  3,763 	  3,704 	  3,724 	  3,962 	  3,394 	  3,393 	  3,781 	  3,688 	  3,801 	  4,213 	  3,946 	  4,044 	  3,760 	  3,769 	  3,886 	  3,927 
Bronx10	  2,415 	  2,218 	  1,928 	  2,273 	  2,620 	  2,832 	  2,618 	  2,766 	  2,446 	  2,494 	  2,458 	  2,379 	  2,602 	  2,129 	  1,764 	  2,245 	  2,510 	  2,642 	  2,719 	  2,643 	  2,448 	  2,501 	  2,503 	  2,484 	  2,608 	  2,188 	  2,120 	  2,464 	  2,464 	  2,670 	  2,790 	  2,572 	  2,612 	  2,484 	  2,504 	  2,656 	  2,538 
